county,nearest_town,town_size,landcover_types,elevation_m,dist_to_town_m,dist_to_water_m,topographic_hazard,landcover_risk,water_proximity_risk,vulnerability_score,flood_risk_score,risk_category
Turkana,Lokwa Kalokol,Town,forests,528.0,36128.27118213815,10385785.936350256,0.0,1.0,0,0.0,0.2,Low
Turkana,Murangering,Town,forests,554.0,31291.063668518265,10392113.53818979,0.0,1.0,0,0.0,0.2,Low
Turkana,Murangering,Town,forests,562.0,25562.488646070502,10398441.14051391,0.0,1.0,0,0.0,0.2,Low
Turkana,Murangering,Town,forests,581.0,20195.003195189227,10404768.743321734,0.0,1.0,0,0.0,0.2,Low
Turkana,Murangering,Town,forests,768.0,15566.71610606819,10411096.34661238,0.0,1.0,0,0.0,0.2,Low
Turkana,Murangering,Town,forests,573.0,12525.746069601702,10417423.95038497,0.0,1.0,0,0.0,0.2,Low
Turkana,Murangering,Town,forests,648.0,12310.692379933884,10423751.554638622,0.0,1.0,0,0.0,0.2,Low
Turkana,Murangering,Town,forests,673.0,15043.242574211914,10430079.159372466,0.0,1.0,0,0.0,0.2,Low
Turkana,Murangering,Town,forests,761.0,19522.610363878124,10436406.764585624,0.0,1.0,0,0.0,0.2,Low
Turkana,Murangering,Town,forests,732.0,24820.407967900555,10442734.370277226,0.0,1.0,0,0.0,0.2,Low
Turkana,Murangering,Town,rangeland,753.0,30513.27835494313,10449061.976446403,0.0,3.0,0,0.0,0.8,Low
Turkana,Lokitaung,Town,rangeland,800.0,27461.890698726038,10455389.583092287,0.0,3.0,0,0.0,0.8,Low
Turkana,Lokitaung,Town,forests,1023.0,24014.93262329829,10461717.190214016,0.0,1.0,0,0.0,0.2,Low
Turkana,Lokitaung,Town,forests,955.0,21894.421779401644,10468044.797810724,0.0,1.0,0,0.0,0.2,Low
Turkana,Lokitaung,Town,forests,771.0,21496.548309138325,10474372.405881552,0.0,1.0,0,0.0,0.2,Low
Turkana,Lokitaung,Town,rangeland,667.0,22911.233955417993,10480700.014425639,0.0,3.0,0,0.0,0.8,Low
Turkana,Lokitaung,Town,rangeland,585.0,25842.501069220816,10487027.623442132,0.0,3.0,0,0.0,0.8,Low
Turkana,Lokitaung,Town,forests,676.0,29846.813057099742,10493355.232930174,0.0,1.0,0,0.0,0.2,Low
Turkana,Kokuro,Town,rangeland,584.0,24937.79862214673,10499682.842888912,0.0,3.0,0,0.0,0.8,Low
Turkana,Kokuro,Town,rangeland,590.0,20533.498677592786,10506010.453317497,0.0,3.0,0,0.0,0.8,Low
Turkana,Kokuro,Town,forests,653.0,17362.09963589272,10512338.064215079,0.0,1.0,0,0.0,0.2,Low
Narok,Olmesutye,Town,forests,2107.0,16884.32223711923,9797398.528885232,0.0,1.0,0,0.0,0.2,Low
Narok,Olmesutye,Town,unknown,2210.0,20021.498630247537,9803726.031571632,0.0,0.0,0,0.0,0.0,Low
Narok,Morigo,Town,forests,1996.0,23376.996720589563,9810053.53489959,0.0,1.0,0,0.0,0.2,Low
Narok,Morigo,Town,forests,2010.0,24107.589505261505,9816381.038867872,0.0,1.0,0,0.0,0.2,Low
Narok,Morigo,Town,forests,1995.0,26380.957826317343,9822708.543475237,0.0,1.0,0,0.0,0.2,Low
Narok,Maji Moto,Town,forests,2066.0,26304.044629901764,9829036.048720451,0.0,1.0,0,0.0,0.2,Low
Narok,Maji Moto,Town,forests,2175.0,20752.874811221605,9835363.554602284,0.0,1.0,0,0.0,0.2,Low
Narok,Maji Moto,Town,forests,2064.0,15797.089287859599,9841691.061119506,0.0,1.0,0,0.0,0.2,Low
Narok,Maji Moto,Town,forests,1959.0,12186.115665255309,9848018.568270894,0.0,1.0,0,0.0,0.2,Low
Narok,Maji Moto,Town,rangeland,1898.0,11293.448014019154,9854346.076055227,0.0,3.0,0,0.0,0.8,Low
Narok,Maji Moto,Town,rangeland,1885.0,13662.711629970294,9860673.584471283,0.0,3.0,0,0.0,0.8,Low
Narok,Ewaso Ngiro,Town,rangeland,1883.0,17759.564187824522,9867001.093517851,0.0,3.0,0,0.0,0.8,Low
Narok,Ewaso Ngiro,Town,unknown,1901.0,16620.89034904567,9873328.603193717,0.0,0.0,0,0.0,0.0,Low
Narok,Olulunga,Town,unknown,1944.0,11681.951735517141,9879656.113497673,0.0,0.0,0,0.0,0.0,Low
Narok,Olulunga,Town,unknown,1982.0,7020.917937795807,9885983.62442851,0.0,0.0,0,1.5,0.3,Low
Narok,Nkorkorri,Town,forests,2020.0,6363.2428912051155,9892311.135985026,0.0,1.0,0,1.5,0.6,Low
Narok,Nkorkorri,Town,unknown,2028.0,10568.281085389548,9898638.648166025,0.0,0.0,0,0.0,0.0,Low
Narok,Nkorkorri,Town,unknown,2063.0,16216.45578130846,9904966.160970304,0.0,0.0,0,0.0,0.0,Low
Narok,Kembu,Town,unknown,2134.0,19656.74234520627,9911293.674396675,0.0,0.0,0,0.0,0.0,Low
Narok,Ambusket,Town,protected_areas,2250.0,14377.147577040334,9917621.188443944,0.0,1.0,0,0.0,0.2,Low
Narok,Ambusket,Town,"forests,protected_areas",2322.0,8522.08631920626,9923948.703110924,0.0,1.0,0,1.5,0.6,Low
Nakuru,Ambusket,Town,protected_areas,2341.0,4317.025134511989,9930276.21839643,0.0,1.0,0,3.0,0.8,Low
Nakuru,Cheptwech,Town,unknown,2463.0,3344.802447794093,9936603.734299282,0.0,0.0,0,3.0,0.6,Low
Nakuru,Cheptwech,Town,protected_areas,2499.0,8714.317708798439,9942931.2508183,0.0,1.0,0,1.5,0.6,Low
Nakuru,Mukuki,Town,protected_areas,2508.0,7580.178784228801,9949258.767952308,0.0,1.0,0,1.5,0.6,Low
Nakuru,Keringet,Town,unknown,2580.0,8652.060288027358,9955586.285700135,0.0,0.0,0,1.5,0.3,Low
Nakuru,Sasamua,Town,unknown,2636.0,9056.887136897769,9961913.80406061,0.0,0.0,0,1.5,0.3,Low
Nakuru,Keusa,Town,protected_areas,2708.0,7036.4229810794195,9968241.323032565,0.0,1.0,0,1.5,0.6,Low
Kericho,Kedowa,Town,"forests,protected_areas",2338.0,6221.331077179654,9974568.84261484,0.0,1.0,0,1.5,0.6,Low
Kericho,Londiani,Town,unknown,2298.0,3355.866563214114,9980896.362806274,0.0,0.0,0,3.0,0.6,Low
Nakuru,Londiani,Town,forests,2424.0,5069.9768138728705,9987223.883605706,0.0,1.0,0,1.5,0.6,Low
Kericho,Equator,Town,protected_areas,2372.0,9687.591962198649,9993551.405011982,0.0,1.0,0,1.5,0.6,Low
Baringo,Equator,Town,rangeland,2556.0,5981.310778831908,9999878.92702395,0.0,3.0,0,1.5,1.0,Low
Baringo,Equator,Town,forests,2482.0,7601.966011492398,10006206.449640462,0.0,1.0,0,1.5,0.6,Low
Baringo,Torongo,Town,unknown,2388.0,2694.927043788363,10012533.972860372,0.0,0.0,0,3.0,0.6,Low
Baringo,Torongo,Town,unknown,2612.0,4218.762090226626,10018861.496682536,0.0,0.0,0,3.0,0.6,Low
Keiyo-Marakwet,Kamwosor,Town,forests,1805.0,5241.29687237706,10025189.021105815,0.0,1.0,0,1.5,0.6,Low
Keiyo-Marakwet,Nyeru,Town,unknown,1975.0,6973.12349267691,10031516.546129068,0.0,0.0,0,1.5,0.3,Low
Keiyo-Marakwet,Nyeru,Town,forests,1589.0,4124.081848771828,10037844.071751164,0.0,1.0,0,3.0,0.8,Low
Keiyo-Marakwet,Nyeru,Town,unknown,1437.0,8091.898352464388,10044171.59797097,0.0,0.0,0,1.5,0.3,Low
Keiyo-Marakwet,Kaptarakwa,Town,forests,1351.0,7912.428175106812,10050499.124787357,0.0,1.0,0,1.5,0.6,Low
Keiyo-Marakwet,Kabluk,Town,"floodplains,rangeland",1105.0,8668.012144082926,10056826.6521992,0.0,10.0,0,1.5,2.8,Low
Baringo,Kabluk,Town,forests,1093.0,4691.492803597251,10063154.180205373,0.0,1.0,0,3.0,0.8,Low
Baringo,Kabluk,Town,"forests,protected_areas",1065.0,6998.06708473422,10069481.708804758,0.0,1.0,0,1.5,0.6,Low
Keiyo-Marakwet,Kamariny,Town,floodplains,1056.0,12033.802266714463,10075809.237996237,0.0,10.0,0,0.0,2.5,Low
Keiyo-Marakwet,Bugar,Town,unknown,1060.0,13107.584609383599,10082136.767778696,0.0,0.0,0,0.0,0.0,Low
Keiyo-Marakwet,Bugar,Town,unknown,1077.0,13361.6388400531,10088464.298151022,0.0,0.0,0,0.0,0.0,Low
Keiyo-Marakwet,Chebiemit,Town,forests,1080.0,12648.363488700486,10094791.829112103,0.0,1.0,0,0.0,0.2,Low
Keiyo-Marakwet,Kapsowar,Town,forests,1171.0,11547.29606994057,10101119.360660838,0.0,1.0,0,0.0,0.2,Low
Keiyo-Marakwet,Kapsowar,Town,unknown,1075.0,7690.492296902028,10107446.89279612,0.0,0.0,0,1.5,0.3,Low
Keiyo-Marakwet,Chesetan,Town,rangeland,1188.0,3970.4315440850237,10113774.42551685,0.0,3.0,0,3.0,1.4,Low
Keiyo-Marakwet,Chesetan,Town,protected_areas,1709.0,2436.8388222191497,10120101.958821926,0.0,1.0,0,3.0,0.8,Low
Keiyo-Marakwet,Chesongoch,Town,protected_areas,2282.0,3876.0291819671866,10126429.492710257,0.0,1.0,0,3.0,0.8,Low
